"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
9702,"2","41-45","Partner","Business Manager","Manual Worker","Own Home","<25,000, >=22,500","No","No",1987,"Yorkshire","S43 4LN","S43",0,64.48,52.48,68.46,100.42,24.99,0,155.38,0,0,0,2,"Female","East Midlands",57.17,30.06,58.21,107.56
3297,"Zero","41-45","Partner","Retired","Retired","Own Home","<30,000, >=27,500","No","No",1983,"Anglia","MK16 8DP","MK16",0,0,32.97,1.03,19.48,11.49,120.03,11.98,0,0,0,2,"Female","South East",10.7,23.92,27.34,17.56
7670,"1","41-45","Partner","Professional","Manual Worker","Own Home",">=35,000","No","No",1977,"Granada","BL9 6RS","BL9",34.49,34.98,0,153.39,25.48,40.45,6.99,23.98,3.98,0,0,2,"Female","North West",49.67,12.57,42.38,45.66
1736,"Zero","55-60","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1991,"Granada","PR7 6JH","PR7",0,26.48,0,178.9,0,0,0,0,0,0,0,1,"Male","North West",41.08,0,29.82,106.18
11262,"1","41-45","Partner","Other","Manual Worker","Own Home","<20,000, >=17,500","No","No",1980,"Yorkshire","NG19 0NG","NG19",0,0,0,17.98,0,6.98,0,0,0,0,0,2,"Female","East Midlands",3.6,1.16,4.16,47.72
3439,"2","26-30","Partner","Housewife","Professional","Own Home","<30,000, >=27,500","No","No",1998,"Central","TF2 9GW","TF2",272.45,241.34,44.48,495.66,44.47,87.92,13.99,79.89,12.48,4.49,499.86,1,"Female","West Midlands",219.68,116.44,122.4,428.51
1323,"1","22-25","Partner","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1996,"Central","NN13 6NT","NN13",0,0,0,69.96,0,0,6.49,0.01,0.99,0,0,2,"Female","East Midlands",13.99,1.25,12.91,75.75
1882,"Zero","51-55","Partner","Professional","Retired","Own Home","<30,000, >=27,500","No","No",1971,"HTV","SA31 1DR","SA31",0,38.98,0,0,0,63.47,0,40.98,0,0,0,2,"Female","Wales",7.8,17.41,17.41,77.35
10819,"Zero","61-65","Partner","Housewife","Retired","Own Home","<12,500, >=10,000","No","No",1969,"Carlton","EN2 8EP","EN2",0,0,68.45,0,34.49,0,0,25.98,0,0,0,2,"Female","South East",20.59,4.33,10.08,-1.9
9133,"2","36-40","Partner","Other","Manual Worker","Own Home","<12,500, >=10,000","No","No",1990,"Border","CA26 3RE","CA26",34.99,76.47,74.46,84.43,24.98,124.42,0,52.97,0,25.95,1.99,2,"Female","North",59.07,34.22,47.8,164.44
11175,"Zero","41-45","Single/Never Married","Other","Unknown","Own Home","<15,000, >=12,500","No","No",1985,"Yorkshire","LS25 2AR","LS25",0,0,0,14.99,0,0,0,0,0,0,0,2,"Male","Unknown",3,0,2.5,27.11
4024,"Zero","65-70","Widowed","Retired","Unknown","Own Home","<30,000, >=27,500","No","No",1969,"Central","L5 1QQ","L5",264.41,263.89,448.33,228.87,140.37,114.42,0,15.48,2,16.46,0,2,"Female","North West",269.17,24.73,83.52,396.1
5765,"1","26-30","Partner","Professional","Manual Worker","Own Home","<25,000, >=22,500","No","No",1995,"Anglia","IP25 6HL","IP25",254.46,0,0,0,35.05,63.46,24.48,0,0,0,279.99,1,"Female","East Anglia",57.9,61.32,20.5,105.29
9303,"Zero","18-21","Single/Never Married","Other","Unknown","Own Home","<25,000, >=22,500","Yes","No",1996,"Anglia","IP5 2WX","IP5",35.48,0,0,0,4.99,14.99,7.99,0,0,0,0,2,"Female","East Anglia",8.09,3.83,4.66,-11.21
80,"Zero","26-30","Partner","Business Manager","Manual Worker","Own Home",">=35,000","No","No",1997,"Central","NG10 2BN","NG10",0,0,0,13.99,0,0,0,11.99,15.98,5.73,0,2,"Female","East Midlands",2.8,5.62,6.99,25.87
165,"Zero","71+","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1961,"Yorkshire","HU7 4UG","HU7",99.45,53.46,159.42,118.37,59.48,39.97,0,36.95,1,0,0,2,"Female","Unknown",98.04,12.99,42.63,102.8
7849,"Zero","45-50","Partner","Housewife","Retired","Own Home","<20,000, >=17,500","No","No",1978,"Unknown","CH43 0SN","CH43",60.96,139.45,0,73.97,34.43,82.93,0,84.95,0,7.97,0,2,"Female","Unknown",61.76,29.31,46.05,174.02
10652,"Zero","26-30","Single/Never Married","Professional","Secretarial/Admin","Own Home","<20,000, >=17,500","No","No",1996,"Central","LE67 5AZ","LE67",0,159.96,0,170.42,0,80.44,82.92,366.67,42.99,23.94,6.49,2,"Female","East Midlands",66.08,100.58,123.91,252.55
3183,"2","36-40","Partner","Housewife","Business Manager","Own Home","<22,500, >=20,000","No","No",1992,"Central","WS14 9RY","WS14",0,0,0,23.49,0,0.01,6.87,75.94,40.95,23.94,0,2,"Male","West Midlands",4.7,24.62,24.54,35.44
9315,"Zero","55-60","Partner","Retired","Business Manager","Own Home","<25,000, >=22,500","No","No",1990,"Meridian","BN20 9AB","BN20",0,0,31.49,88.44,150.94,4.99,0,38.44,0,0,0,2,"Female","South East",54.17,7.24,47.14,51.9
9021,"Zero","55-60","Divorced/Separated","Retired","Unknown","Own Home","<20,000, >=17,500","No","No",1988,"Meridian","L16 1FD","L16",34.99,43.48,59.99,106.92,74.97,16.96,0,42.96,0,0,0,2,"Male","North West",64.07,9.99,40.3,132.17
11322,"Zero","55-60","Partner","Retired","Unknown","Own Home","<12,500, >=10,000","No","No",1968,"Meridian","M7 5DF","M7",0,0,0.51,0,0,0,0,23.48,0,0,0,2,"Female","North West",0.1,3.91,3.91,22.93
7043,"Zero","41-45","Partner","Unknown","Unknown","Own Home",">=35,000","No","No",1993,"Yorkshire","YO41 5PS","YO41",174.46,0.01,37.48,48.97,28.06,59.93,0,27.49,45.44,15.93,154.9,1,"Female","Unknown",57.8,50.62,34.98,122.98
8146,"Zero","41-45","Partner","Professional","Secretarial/Admin","Own Home",">=35,000","No","No",1975,"Tyne Tees","SR5 1RD","SR5",0,55.47,0,33.45,0,28.96,4.99,0,0,0,0,2,"Male","North",17.78,5.66,11.23,48.88
8837,"1","36-40","Partner","Unknown","Unknown","Own Home",">=35,000","Yes","Yes",1993,"Yorkshire","PE22 0HR","PE22",0,0,0,0,0,0,68.97,28.47,39.98,0,0,1,"Female","East Midlands",0,22.9,22.9,-21.94
10163,"1","36-40","Partner","Manual Worker","Manual Worker","Own Home","<10,000, >= 8,000","No","Yes",1985,"Carlton","IG6 3DW","IG6",0,95.46,19.99,86.97,0,19.94,0,0,7.97,1.99,0,2,"Female","South East",40.48,4.98,19.15,84.8
7172,"Zero","55-60","Divorced/Separated","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1981,"HTV","SN4 0AJ","SN4",22.98,45.98,0,114.43,9.99,0,25.48,61.45,0,0,0,2,"Male","South West",38.68,14.49,35.23,99.1
3002,"Zero","51-55","Partner","Professional","Retired","Own Home","<10,000, >= 8,000","No","No",1988,"Granada","OL2 6XH","OL2",0,74.48,0,62.96,0,3.98,0,64.44,0,2.79,28.47,2,"Female","North West",27.49,16.61,21.9,43.31
9831,"Zero","51-55","Partner","Housewife","Professional","Own Home","<27,500, >=25,000","No","No",1985,"Central","GL20 8NJ","GL20",0.02,29.98,17.99,59.46,26.46,17.99,0,42.97,6.99,9.99,31.47,2,"Female","South West",26.78,18.24,25.65,30.69
5030,"1","45-50","Partner","Professional","Professional","Own Home",">=35,000","No","Yes",1976,"Tyne Tees","NE9 7NT","NE9",0,94.96,0,89.48,7.99,7.48,14.49,29.97,0,9.97,0,2,"Female","North",38.49,10.32,24.9,48.9
4452,"Zero","71+","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1971,"Meridian","PO21 3LR","PO21",0,44.98,0,21.99,0,0,0,0,0,0,0,2,"Male","South East",13.39,0,3.67,20.91
5299,"Zero","55-60","Partner","Professional","Unknown","Own Home","<17,500, >=15,000","No","No",1985,"Yorkshire","HD7 5SP","HD7",24.99,0,115.44,0,0,0,0,0,0,0,0,2,"Female","Unknown",28.09,0,0,75.65
2516,"2","26-30","Partner","Manual Worker","Manual Worker","Own Home","<27,500, >=25,000","No","No",1988,"Scottish TV","ML9 2PX","ML9",0,307.88,24.49,166.42,137.95,157.43,185.35,90.95,9.99,35.92,432.34,1,"Female","Scotland",127.35,152,124.68,425.94
749,"Zero","36-40","Divorced/Separated","Professional","Unknown","Own Home","<30,000, >=27,500","No","No",1991,"Carlton","IG11 8PZ","IG11",127.45,0.01,60,20.98,0,61.93,0,11.98,0,0,88.54,2,"Male","South East",41.69,27.08,15.82,60.55
3182,"Zero","26-30","Partner","Professional","Secretarial/Admin","Own Home",">=35,000","No","No",1998,"Central","DE65 6LG","DE65",44.99,220.95,0,108.46,62.46,69.96,103.4,100.93,26.99,0,0,2,"Male","East Midlands",87.37,50.21,78.7,200.22
3574,"Zero","41-45","Partner","Professional","Business Manager","Own Home","<30,000, >=27,500","No","No",1990,"Anglia","M7 9LT","M7",0,0,0,128.93,0,69.44,0,0,2,23.97,0,2,"Male","North West",25.79,15.9,33.4,51.92
479,"Zero","31-35","Partner","Housewife","Business Manager","Own Home","<30,000, >=27,500","No","No",1995,"TV South West","EX36 4QD","EX36",34.97,77.96,59.97,205.39,9.48,122.85,35.96,3.98,0,5.72,0,2,"Female","South West",77.55,28.09,62.94,114.05
2130,"Zero","36-40","Partner","Secretarial/Admin","Manual Worker","Own Home","<30,000, >=27,500","No","Yes",1987,"Scottish TV","FK5 4JT","FK5",0,0,0,315.35,0,6.98,0,0,0,0,0,1,"Female","Scotland",63.07,1.16,53.72,124.02
2115,"1","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1986,"Granada","BB7 9RJ","BB7",18.48,0,54.97,34.98,7.99,51.47,15.99,72.92,0,0,19.48,2,"Female","North West",23.28,26.64,30.56,37.27
8665,"1","26-30","Partner","Secretarial/Admin","Manual Worker","Own Home","< 8,000, >= 4,000","No","Yes",1995,"Grampian","KW14 8JH","KW14",0,14.48,74.48,13.99,9.48,44.98,25.96,43.97,22.93,9.99,7.47,2,"Female","Scotland",22.49,25.88,26.89,111.72
3319,"Zero","36-40","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<27,500, >=25,000","No","No",1982,"Central","LE9 8GP","LE9",54.98,0,0.01,96.93,0,32.98,0,15.97,0,0,0,2,"Female","East Midlands",30.38,8.16,24.31,80.79
9917,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1988,"Central","TF4 3SP","TF4",0,49.48,0,0.01,0,0,0,9.49,1,0,75.95,1,"Male","West Midlands",9.9,14.41,1.75,70.24
4610,"Zero","61-65","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1956,"Anglia","NR31 9BY","NR31",0,0,0,0,0,0,0,27.47,0,0,0,2,"Female","East Anglia",0,4.58,4.58,2.71
6560,"2","31-35","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1987,"Granada","M27 5PD","M27",15.99,0,0,108.45,0,0,0,21.48,0,39.34,0,2,"Female","North West",24.89,10.14,21.66,56.53
4028,"1","41-45","Partner","Housewife","Unknown","Own Home","<30,000, >=27,500","No","Yes",1992,"Meridian","CT2 9AS","CT2",200.86,167.94,327.84,262.86,134.65,126.4,95.95,156.37,70.94,37.43,72.95,2,"Female","South East",218.83,93.34,141.2,522.86
7691,"2","36-40","Partner","Secretarial/Admin","Housewife","Own Home","<10,000, >= 8,000","No","No",1998,"Meridian","TN28 8BD","TN28",0,124.98,0,20.99,0,0.01,0,37.98,4.99,0,0,2,"Male","South East",29.19,7.16,10.66,25.16
281,"1","31-35","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1984,"Yorkshire","S61 1NS","S61",0,24.97,0,8.45,13.48,7.99,0,17.98,0,6.49,0,2,"Female","Unknown",9.38,5.41,7.98,24.22
4589,"Zero","65-70","Divorced/Separated","Retired","Unknown","Own Home","<17,500, >=15,000","No","No",1976,"Carlton","CR2 0NW","CR2",0,0,0,0,0,0,131.89,0,0,0,0,2,"Female","South East",0,21.98,21.98,85.78
2299,"1","61-65","Partner","Retired","Retired","Own Home","Unknown","No","No",1942,"Granada","M33 3RG","M33",0,25.99,0,52.95,14.98,0,0,44.96,0,0,0,2,"Female","North West",18.78,7.49,18.82,3.36
9786,"Zero","61-65","Single/Never Married","Retired","Retired","Rent from Council/HA","<10,000, >= 8,000","No","No",1998,"Granada","M38 0EG","M38",98.97,179.46,79.47,112.93,114.88,0,0,36.97,0,0,15.98,2,"Male","North West",117.14,8.83,44.13,154.23
11096,"1","22-25","Partner","Housewife","Professional","Own Home","<25,000, >=22,500","No","No",1998,"Yorkshire","PE24 4EA","PE24",0,29.98,0,21.49,4.99,0,23.48,46.44,2.49,0,0,2,"Female","East Midlands",11.29,12.07,16.48,39.98
3720,"1","41-45","Partner","Unknown","Unknown","Own Home","<30,000, >=27,500","Yes","Yes",1994,"Meridian","PO7 5PW","PO7",0,0,19.49,0,0,0,53.48,0,0,0,0,2,"Male","South East",3.9,8.91,8.91,15.83
8396,"3","36-40","Partner","Professional","Professional","Own Home",">=35,000","No","No",1994,"Anglia","WA7 0RD","WA7",0,96.96,0,222.35,0,138.41,0,113.9,0,50.93,4.97,2,"Female","North West",63.86,51.37,79.11,212.68
3897,"Zero","45-50","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<22,500, >=20,000","No","No",1985,"Tyne Tees","TS23 3YA","TS23",0,0,0,23.49,0,0,0,43.47,0,0,0,2,"Female","North",4.7,7.25,11.16,6.46
11150,"2","41-45","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1994,"Granada","LA5 8AW","LA5",0,113.96,0,48.47,0,2.99,17.99,63.76,0,0,0,2,"Female","North West",32.49,14.12,22.2,42.66
4545,"1","41-45","Partner","Other","Business Manager","Own Home","<20,000, >=17,500","No","No",1975,"Yorkshire","HD7 2DS","HD7",0,19.49,0,49.98,0,0,33.48,0,0,6.24,0,2,"Female","Unknown",13.89,6.62,13.91,58.55
4351,"Zero","22-25","Single/Never Married","Professional","Manual Worker","Own Home","<30,000, >=27,500","No","No",1996,"Yorkshire","NG34 7AP","NG34",0,0,0,24.99,0,0,0,15.98,0,0,0,2,"Female","East Midlands",5,2.66,6.83,92.63
6406,"1","51-55","Partner","Business Manager","Business Manager","Own Home",">=35,000","No","No",1997,"Yorkshire","WF14 9EB","WF14",19.99,0,0,0,0,7.98,13.09,40.96,0,0,0,2,"Female","Unknown",4,10.34,10.34,64.72
5312,"Zero","61-65","Partner","Retired","Retired","Own Home","<20,000, >=17,500","No","No",1989,"Tyne Tees","SR8 1NE","SR8",0,24.49,0,47.96,0,0,0,14,0,0,0,2,"Female","North",14.49,2.33,10.33,31.18
2261,"Zero","55-60","Divorced/Separated","Unknown","Unknown","Own Home","<12,500, >=10,000","No","No",1998,"Carlton","L10 7DB","L10",0,0,0,0,0,0,4.99,0,0,0,0,2,"Female","North West",0,0.83,0.83,23.66
4893,"1","31-35","Divorced/Separated","Professional","Professional","Own Home",">=35,000","Yes","No",1994,"Meridian","RG26 3YN","RG26",0,58.97,14.99,82.46,72.93,84.91,203.29,30.98,28.47,19.95,0,2,"Female","South East",45.87,61.27,83.84,176.87
1063,"Zero","51-55","Partner","Other","Manual Worker","Own Home","<22,500, >=20,000","No","No",1996,"Anglia","MK3 7PP","MK3",39.98,0.51,0,0,0,0,0,35.97,0,0,0,2,"Female","South East",8.1,6,6,15.88
1319,"Zero","26-30","Partner","Business Manager","Business Manager","Own Home",">=35,000","No","No",1998,"Ulster","BT39 9FA","BT39",4.99,0,0,0,0,23.95,0,38.97,0,0,0,2,"Female","Northern Ireland",1,10.49,10.49,48.07
5041,"Zero","51-55","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1965,"Yorkshire","LS25 2ER","LS25",51.48,210.37,52.47,418.93,0,125.37,0,109.41,10.47,3.49,64.97,1,"Male","Unknown",146.65,52.29,110.7,343.12
2307,"Zero","45-50","Single/Never Married","Secretarial/Admin","Secretarial/Admin","Own Home","<30,000, >=27,500","No","No",1978,"Carlton","E15 3DX","E15",0,25.99,0,235.42,0,131.44,19.96,20.47,2.49,39.95,19.99,2,"Female","South East",52.28,39.05,68.3,151.68
4898,"1","45-50","Partner","Other","Retired","Own Home","<22,500, >=20,000","No","No",1970,"Meridian","L1 3RR","L1",0,183.43,41.48,23.98,10.68,24.99,72.91,27.97,11.22,3.98,0,2,"Female","North West",51.91,23.51,28.63,106.63
11179,"1","55-60","Partner","Unknown","Secretarial/Admin","Own Home",">=35,000","Yes","No",1980,"Anglia","NR34 8HS","NR34",0,19.99,0,135.44,19.97,10.47,22.97,182.33,1,0,4.49,2,"Male","East Anglia",35.08,36.88,62.03,142.38
9460,"1","31-35","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1981,"Tyne Tees","TS6 0ST","TS6",101.95,39.99,241.9,85.45,107.94,20.44,28.47,85.43,0,14.98,0,2,"Female","North",115.45,24.89,54.62,225.92
3299,"Zero","36-40","Partner","Business Manager","Manual Worker","Own Home",">=35,000","No","No",1998,"Granada","BB10 4HU","BB10",46.98,67.9,241.87,125.81,57.94,53.44,0,131.36,1,0,11.49,2,"Female","North West",108.1,32.88,61.59,175.02
6804,"Zero","45-50","Partner","Unknown","Unknown","Own Home","<27,500, >=25,000","No","No",1979,"Central","L15 4DW","L15",0,34.99,29.99,0,9.99,0,8.99,28.47,17.97,0,31.49,2,"Female","North West",14.99,14.49,10.9,60.73
10255,"Zero","41-45","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<20,000, >=17,500","No","No",1984,"Carlton","PR4 3QQ","PR4",0,68.46,0,210.41,0,41.95,13.99,97.39,0,13.48,0,2,"Female","North West",55.77,27.8,60.62,192.08
